,genotype,selection,NPPC code,location,treatment,rep,barcode,LT target,sample DNA,,genotype,barcode,LT target,comment,Tillering 04/01,FL,GS51     1st spikelets days from 01/01/15,GS55  panicle 50% emerged,,Height 10/02/16
122,10142,2012-124/23/19,35,1,2,2,O7-35122,4930,,122,10142,O7-35122,4930,small,,,,,,
123,10022,2013-213ACnVII/15,20,1,2,2,O7-20122,4930,,123,10022,O7-20122,4930,,0,1,15,22,,
124,9887,2012-127/7/16,01,1,1,2,O7-01112,4930,,124,9887,O7-01112,4930,,1,1,13,18,,
125,9922,2012-130/5/5,09,1,2,2,O7-09122,4930,,125,9922,O7-09122,4930,,1,0,33,39,,
126,10001,2012-138/11/7,18,1,2,2,O7-18122,4930,,126,10001,O7-18122,4930,,0,1,13,18,,
127,9911,2012-137/5/1,07,1,1,2,O7-07112,4930,,127,9911,O7-07112,4930,,1,0,25,29,,
128,10115,2013-212ACnI/23,33,1,2,2,O7-33122,4930,,128,10115,O7-33122,4930,,0,1,15,22,,
129,10076,2013-214ACnXV/8,28,1,1,2,O7-28112,4930,,129,10076,O7-28112,4930,,0,0,18,27,,
130,9899,2012-134/1/13,04,1,1,2,O7-04112,4930,,130,9899,O7-04112,4930,,0,1,4,8,,
131,9889,2012-127/7/18,02,1,1,2,O7-02112,4930,,131,9889,O7-02112,4930,,0,1,7,11,,88
132,9989,2012-131/4/47,17,1,2,2,O7-17122,4930,,132,9989,O7-17122,4930,,0,1,13,18,,
133,10103,2013-211ACnII/39,30,1,1,2,O7-30112,4930,,133,10103,O7-30112,4930,,0,1,8,15,,
134,9956,2012-121/7/16,14,1,2,2,O7-14122,4930,,134,9956,O7-14122,4930,,0,1,11,18,,
135,9932,2012-139/6/2,10,1,2,2,O7-10122,4930,,135,9932,O7-10122,4930,,1,1,15,20,,
136,10049,2013-214ACnX/21,24,1,1,2,O7-24112,4930,,136,10049,O7-24112,4930,,1,0,18,29,,
137,10103,2013-211ACnII/39,30,1,2,2,O7-30122,4930,,137,10103,O7-30122,4930,dead,,,,,,
138,9941,2012-139/6/25,11,1,1,2,O7-11112,4930,,138,9941,O7-11112,4930,,0,1,4,8,,
139,10055,2013-214ACnX/31,25,1,1,2,O7-25112,4930,,139,10055,O7-25112,4930,,0,1,11,15,empty spikelets,
140,10139,2012-124/23/8,34,1,2,2,O7-34122,4930,,140,10139,O7-34122,4930,small,,,,,,
141,9889,2012-127/7/18,02,1,2,2,O7-02122,4930,,141,9889,O7-02122,4930,,0,1,6,9,,
142,10058,2013-214ACnX/41,26,1,1,2,O7-26112,4930,,142,10058,O7-26112,4930,,1,0,18,25,,
143,10190,SC103,37,1,2,2,O7-37122,4930,,143,10190,O7-37122,4930,,1,0,11,18,,53
144,9893,2012-134/1/11,03,1,1,2,O7-03112,4930,,144,9893,O7-03112,4930,,0,0,15,18,,
145,10196,SC174,38,1,1,2,O7-38112,4930,,145,10196,O7-38112,4930,,0,1,4,4,,
146,10204,Buffalo,40,1,2,2,O7-40122,4930,,146,10204,O7-40122,4930,,0,1,13,18,,
147,10028,2013-214ACnII/3,21,1,2,2,O7-21122,4930,,147,10028,O7-21122,4930,,0,1,8,13,,
148,9967,2012-132/6/31,15,1,1,2,O7-15112,4930,,148,9967,O7-15112,4930,,0,1,8,13,,
149,9893,2012-134/1/11,03,1,2,2,O7-03122,4930,,149,9893,O7-03122,4930,,1,0,27,33,,
150,10022,2013-213ACnVII/15,20,1,1,2,O7-20112,4930,,150,10022,O7-20112,4930,small,1,0,,,,
151,10031,2013-214ACnII/4,22,1,1,2,O7-22112,4930,,151,10031,O7-22112,4930,,0,1,8,13,,
152,9908,2012-134/1/36,06,1,2,2,O7-06122,4930,,152,9908,O7-06122,4930,,0,1,8,12,,
153,10184,SC074,36,1,1,2,O7-36112,4930,,153,10184,O7-36112,4930,,1,0,27,29,,
154,9905,2012-134/1/35,05,1,1,2,O7-05112,4930,,154,9905,O7-05112,4930,,0,1,5,8,,
155,9887,2012-127/7/16,01,1,2,2,O7-01122,4930,,155,9887,O7-01122,4930,,1,0,29,33,,
156,10112,2013-212ACnI/16,32,1,1,2,O7-32112,4930,,156,10112,O7-32112,4930,,0,1,8,11,,
157,10139,2012-124/23/8,34,1,1,2,O7-34112,4930,,157,10139,O7-34112,4930,,0,1,8,11,,
158,10112,2013-212ACnI/16,32,1,2,2,O7-32122,4930,,158,10112,O7-32122,4930,small,,,,,,
159,10076,2013-214ACnXV/8,28,1,2,2,O7-28122,4930,,159,10076,O7-28122,4930,dead,,,,,,
160,10046,2013-214ACnX/4,23,1,1,2,O7-23112,4930,,160,10046,O7-23112,4930,,0,1,15,18,,
161,10109,2013-212ACnI/14,31,1,2,2,O7-31122,4930,,161,10109,O7-31122,4930,,0,1,8,15,,
162,F2,,,,,,O7-E122,4930,,162,F2,O7-E122,4930,,,,,,,
163,9989,2012-131/4/47,17,1,1,3,O7-17113,4930,,163,9989,O7-17113,4930,,0,1,13,22,empty spikelets,
164,10031,2013-214ACnII/4,22,1,2,3,O7-22123,4930,,164,10031,O7-22123,4930,,0,1,13,18,,
165,9899,2012-134/1/13,04,1,2,3,O7-04123,4930,,165,9899,O7-04123,4930,,0,1,8,11,,
166,9905,2012-134/1/35,05,1,2,3,O7-05123,4930,,166,9905,O7-05123,4930,,0,1,11,15,,
167,10001,2012-138/11/7,18,1,1,3,O7-18113,4930,,167,10001,O7-18113,4930,,0,1,11,15,,
168,9953,2012-125/1/30,13,1,2,3,O7-13123,4930,,168,9953,O7-13123,4930,,0,1,13,22,,
169,10094,2013-214ACnXV/16,29,1,1,3,O7-29113,4930,,169,10094,O7-29113,4930,,0,1,8,13,,
170,9932,2012-139/6/2,10,1,1,3,O7-10113,4930,,170,9932,O7-10113,4930,,0,1,8,18,,
171,9974,2012-131/4/5,16,1,1,3,O7-16113,4930,,171,9974,O7-16113,4930,,1,1,11,18,,
172,9911,2012-137/5/1,07,1,2,3,O7-07123,4930,,172,9911,O7-07123,4930,,1,0,39,,,
173,10202,Tardis,39,1,2,3,O7-39123,4930,,173,10202,O7-39123,4930,,1,0,36,39,,
174,10028,2013-214ACnII/3,21,1,1,3,O7-21113,4930,,174,10028,O7-21113,4930,,0,1,8,15,,
175,9941,2012-139/6/25,11,1,2,3,O7-11123,4930,,175,9941,O7-11123,4930,,0,1,11,13,,
176,10046,2013-214ACnX/4,23,1,2,3,O7-23123,4930,,176,10046,O7-23123,4930,,1,0,33,39,,
177,9914,2012-137/5/5,08,1,2,3,O7-08123,4930,,177,9914,O7-08123,4930,,1,0,36,,,
178,9947,2012-125/1/26,12,1,2,3,O7-12123,4930,,178,9947,O7-12123,4930,,0,1,11,22,,56
179,9974,2012-131/4/5,16,1,2,3,O7-16123,4930,,179,9974,O7-16123,4930,,0,1,18,25,,
180,10142,2012-124/23/19,35,1,1,3,O7-35113,4930,,180,10142,O7-35113,4930,,1,0,22,27,,
181,10184,SC074,36,1,2,3,O7-36123,4930,,181,10184,O7-36123,4930,,1,0,39,,,
182,10049,2013-214ACnX/21,24,1,2,3,O7-24123,4930,,182,10049,O7-24123,4930,,1,0,27,36,,
183,10058,2013-214ACnX/41,26,1,2,3,O7-26123,4930,,183,10058,O7-26123,4930,,1,0,33,39,,
184,10015,2013-213ACnIII/13,19,1,1,3,O7-19113,4930,,184,10015,O7-19113,4930,,0,1,8,18,,
185,9947,2012-125/1/26,12,1,1,3,O7-12113,4930,,185,9947,O7-12113,4930,,0,1,8,18,,
186,10015,2013-213ACnIII/13,19,1,2,3,O7-19123,4930,,186,10015,O7-19123,4930,dead,,,,,,
187,10109,2013-212ACnI/14,31,1,1,3,O7-31113,4930,,187,10109,O7-31113,4930,,0,1,8,13,,
188,9922,2012-130/5/5,09,1,1,3,O7-09113,4930,,188,9922,O7-09113,4930,,1,0,18,22,,101
189,9953,2012-125/1/30,13,1,1,3,O7-13113,4930,,189,9953,O7-13113,4930,,0,1,13,22,,
190,10094,2013-214ACnXV/16,29,1,2,3,O7-29123,4930,,190,10094,O7-29123,4930,,0,1,15,20,,
191,10196,SC174,38,1,2,3,O7-38123,4930,,191,10196,O7-38123,4930,,0,1,11,13,,
192,9956,2012-121/7/16,14,1,1,3,O7-14113,4930,,192,9956,O7-14113,4930,,0,1,11,13,,
193,10204,Buffalo,40,1,1,3,O7-40113,4930,,193,10204,O7-40113,4930,,0,1,11,15,,
194,10202,Tardis,39,1,1,3,O7-39113,4930,,194,10202,O7-39113,4930,,0,1,15,18,,
195,9908,2012-134/1/36,06,1,1,3,O7-06113,4930,,195,9908,O7-06113,4930,,0,1,5,9,,
196,10073,2013-214ACnXV/7,27,1,1,3,O7-27113,4930,,196,10073,O7-27113,4930,,0,0,18,25,empty spikelets,
197,10115,2013-212ACnI/23,33,1,1,3,O7-33113,4930,,197,10115,O7-33113,4930,dead,,,,,,
198,9967,2012-132/6/31,15,1,2,3,O7-15123,4930,,198,9967,O7-15123,4930,,0,1,11,18,,
199,10073,2013-214ACnXV/7,27,1,2,3,O7-27123,4930,,199,10073,O7-27123,4930,small,,,,,,
200,9914,2012-137/5/5,08,1,1,3,O7-08113,4930,,200,9914,O7-08113,4930,,1,0,18,27,,
201,10190,SC103,37,1,1,3,O7-37113,4930,,201,10190,O7-37113,4930,,1,1,8,13,,
202,10055,2013-214ACnX/31,25,1,2,3,O7-25123,4930,,202,10055,O7-25123,4930,,0,1,8,13,,
203,10142,2012-124/23/19,35,1,2,3,O7-35123,4930,,203,10142,O7-35123,4930,dead,,,,,,
204,10022,2013-213ACnVII/15,20,1,2,3,O7-20123,4930,,204,10022,O7-20123,4930,,0,1,11,18,,
205,9887,2012-127/7/16,01,1,1,3,O7-01113,4930,,205,9887,O7-01113,4930,,1,1,13,18,,
206,9922,2012-130/5/5,09,1,2,3,O7-09123,4930,,206,9922,O7-09123,4930,,1,0,33,36,,
207,10001,2012-138/11/7,18,1,2,3,O7-18123,4930,,207,10001,O7-18123,4930,,0,1,22,27,,
208,9911,2012-137/5/1,07,1,1,3,O7-07113,4930,,208,9911,O7-07113,4930,,1,0,22,27,,44
209,10115,2013-212ACnI/23,33,1,2,3,O7-33123,4930,,209,10115,O7-33123,4930,,0,0,15,18,,
210,10076,2013-214ACnXV/8,28,1,1,3,O7-28113,4930,,210,10076,O7-28113,4930,,0,0,20,27,,
211,9899,2012-134/1/13,04,1,1,3,O7-04113,4930,,211,9899,O7-04113,4930,,0,1,4,8,,
212,9889,2012-127/7/18,02,1,1,3,O7-02113,4930,,212,9889,O7-02113,4930,,0,1,5,9,,
213,9989,2012-131/4/47,17,1,2,3,O7-17123,4930,,213,9989,O7-17123,4930,,0,1,20,25,,
214,10103,2013-211ACnII/39,30,1,1,3,O7-30113,4930,,214,10103,O7-30113,4930,,1,1,8,13,,
215,9956,2012-121/7/16,14,1,2,3,O7-14123,4930,,215,9956,O7-14123,4930,,small,0,,,,
216,9932,2012-139/6/2,10,1,2,3,O7-10123,4930,,216,9932,O7-10123,4930,,1,1,8,18,,
217,10049,2013-214ACnX/21,24,1,1,3,O7-24113,4930,,217,10049,O7-24113,4930,,0,1,15,22,,
218,10103,2013-211ACnII/39,30,1,2,3,O7-30123,4930,,218,10103,O7-30123,4930,,1,0,15,20,,
219,9941,2012-139/6/25,11,1,1,3,O7-11113,4930,,219,9941,O7-11113,4930,,0,1,5,8,,
220,10055,2013-214ACnX/31,25,1,1,3,O7-25113,4930,,220,10055,O7-25113,4930,,0,1,8,13,,
221,10139,2012-124/23/8,34,1,2,3,O7-34123,4930,,221,10139,O7-34123,4930,,0,0,27,33,,
222,9889,2012-127/7/18,02,1,2,3,O7-02123,4930,,222,9889,O7-02123,4930,,0,1,4,4,,
223,10058,2013-214ACnX/41,26,1,1,3,O7-26113,4930,,223,10058,O7-26113,4930,,1,0,15,20,,
224,10190,SC103,37,1,2,3,O7-37123,4930,,224,10190,O7-37123,4930,,1,0,13,18,,
225,9893,2012-134/1/11,03,1,1,3,O7-03113,4930,,225,9893,O7-03113,4930,,1,0,18,22,,
226,10196,SC174,38,1,1,3,O7-38113,4930,,226,10196,O7-38113,4930,,0,1,4,4,,
227,10204,Buffalo,40,1,2,3,O7-40123,4930,,227,10204,O7-40123,4930,,0,1,13,18,,
228,10028,2013-214ACnII/3,21,1,2,3,O7-21123,4930,,228,10028,O7-21123,4930,,0,1,8,11,,
229,9967,2012-132/6/31,15,1,1,3,O7-15113,4930,,229,9967,O7-15113,4930,,0,1,8,13,,
230,9893,2012-134/1/11,03,1,2,3,O7-03123,4930,,230,9893,O7-03123,4930,,1,0,29,36,,97
231,10022,2013-213ACnVII/15,20,1,1,3,O7-20113,4930,,231,10022,O7-20113,4930,,1,0,25,36,,
232,10031,2013-214ACnII/4,22,1,1,3,O7-22113,4930,,232,10031,O7-22113,4930,,0,1,11,18,,
233,9908,2012-134/1/36,06,1,2,3,O7-06123,4930,,233,9908,O7-06123,4930,,0,1,8,11,,
234,10184,SC074,36,1,1,3,O7-36113,4930,,234,10184,O7-36113,4930,,1,0,22,29,,
235,9905,2012-134/1/35,05,1,1,3,O7-05113,4930,,235,9905,O7-05113,4930,,0,1,8,11,,
236,9887,2012-127/7/16,01,1,2,3,O7-01123,4930,,236,9887,O7-01123,4930,,1,0,33,36,,
237,10112,2013-212ACnI/16,32,1,1,3,O7-32113,4930,,237,10112,O7-32113,4930,,0,1,11,18,,
238,10139,2012-124/23/8,34,1,1,3,O7-34113,4930,,238,10139,O7-34113,4930,,0,1,11,18,,60
239,10112,2013-212ACnI/16,32,1,2,3,O7-32123,4930,,239,10112,O7-32123,4930,,0,0,18,25,,
240,10076,2013-214ACnXV/8,28,1,2,3,O7-28123,4930,,240,10076,O7-28123,4930,dead,,,,,,
241,10046,2013-214ACnX/4,23,1,1,3,O7-23113,4930,,241,10046,O7-23113,4930,,0,1,15,22,,
242,10109,2013-212ACnI/14,31,1,2,3,O7-31123,4930,,242,10109,O7-31123,4930,,0,1,11,18,,
,F2,,,,,,O7-E123,4930,,,F2,O7-E123,4930,,,,,,,
,,,,,1 vern,,,,,,,,,,,,,,,
,,,,,2 unvern,,,,,,,,,,,,,,,
