genotype,barcode,erectness,tiller count,,,,,,,
9989,O7-17111,2,4,,,,,,,
10031,O7-22121,3,4,,,,,,,
9899,O7-04121,3,5,,,,,,,
9905,O7-05121,4,4,,,,,,,
10001,O7-18111,4,4,,,,,,,
9953,O7-13121,4,3,,,,,,,
10094,O7-29111,4,5,,,,,,,
9932,O7-10111,3,6,,,,,,,
9974,O7-16111,2,7,,,,,,,
9911,O7-07121,1,6,,,,,,,
Tardis,O7-39121,1,5,,,,,,,
10028,O7-21111,3,6,,,,,,,
9941,O7-11121,4,5,,,,,,,
10046,O7-23121,4,4,,,,,,,
9914,O7-08121,1,7,,,,,,,
9947,O7-12121,4,4,,,,,,,
9974,O7-16121,3,6,,,,,,,
10142,O7-35111,n/d,,,,,,,,
10184,O7-36121,1,6,,,,,,,
10049,O7-24121,2,6,,,,,,,
10058,O7-26121,n/d,,,,,,,,
10015,O7-19111,4,5,,,,,,,
9947,O7-12111,3,5,,,,,,,
10015,O7-19121,n/d 4,3,,,,,,,
10109,O7-31111,5,4,,,,,,,
9922,O7-09111,2,5,,,,,,,
9953,O7-13111,3,4,,,,,,,
10094,O7-29121,n/d,,,,,,,,
10196,O7-38121,2,5,,,,,,,
9956,O7-14111,2,6,,,,,,,
Buffalo,O7-40111,4,5,,,,,,,
Tardis,O7-39111,3,7,,,,,,,
9908,O7-06111,4,7,,,,,,,
10073,O7-27111,4,5,,,,,,,
10115,O7-33111,4,7,,,,,,,
9967,O7-15121,3,5,,,,,,,
10073,O7-27121,n/d,,,,,,,,
9914,O7-08111,2,6,,,,,,,
10190,O7-37111,2,7,,,,,,,
10055,O7-25121,4,5,,,,,,,
10142,O7-35121,n/d5,3,,,,,,,
10022,O7-20121,n/d5,3,,,,,,,
9887,O7-01111,2,6,,,,,,,
9922,O7-09121,1,5,,,,,,,
10001,O7-18121,n/d 5,3,,,,,,,
9911,O7-07111,1,8,,,,,,,
10115,O7-33121,3,5,,,,,,,
10076,O7-28111,3,4,,,,,,,
9899,O7-04111,3,5,,,,,,,
9889,O7-02111,3,6,,,,,,,
9989,O7-17121,2,5,,,,,,,
10103,O7-30111,2,6,,,,,,,
9956,O7-14121,2,5,,,,,,,
9932,O7-10121,n/d,,,,,,,,
10049,O7-24111,2,7,,,,,,,
10103,O7-30121,3,4,,,,,,,
9941,O7-11111,5,5,,,,,,,
10055,O7-25111,5,5,,,,,,,
10139,O7-34121,3,6,,,,,,,
9889,O7-02121,3,5,,,,,,,
10058,O7-26111,2,7,,,,,,,
10190,O7-37121,1,5,,,,,,,
9893,O7-03111,2,6,,,,,,,
10196,O7-38111,2,5,,,,,,,
Buffalo,O7-40121,4,6,,,,,,,
10028,O7-21121,n/d 4,3,,,,,,,
9967,O7-15111,4,5,,,,,,,
9893,O7-03121,2,4,,,,,,,
10022,O7-20111,3,6,,,,,,,
10031,O7-22111,3,6,,,,,,,
9908,O7-06121,3,6,,,,,,,
10184,O7-36111,1,5,,,,,,,
9905,O7-05111,3,5,,,,,,,
9887,O7-01121,2,5,,,,,,,
10112,O7-32111,3,6,,,,,,,
10139,O7-34111,3,4,,,,,,,
10112,O7-32121,2,6,,,,,,,
10076,O7-28121,n/d 5,1,,,,,,,
10046,O7-23111,2,6,,,,,,,
10109,O7-31121,3,5,,,,,,,
F2,O7-E121,,,,,,,,,
9989,O7-17112,3,5,,,,,,,
10031,O7-22122,4,4,,,,,,,
9899,O7-04122,3,5,,,,,,,
9905,O7-05122,2,5,,,,,,,
10001,O7-18112,3,4,,,,,,,
9953,O7-13122,3,5,,,,,,,
10094,O7-29112,4,5,,,,,,,
9932,O7-10112,3,5,,,,,,,
9974,O7-16112,2,6,,,,,,,
9911,O7-07122,1,5,,,,,,,
Tardis,O7-39122,1,5,,,,,,,
10028,O7-21112,4,5,,,,,,,
9941,O7-11122,4,5,,,,,,,
10046,O7-23122,2,6,,,,,,,
9914,O7-08122,1,6,,,,,,,
9947,O7-12122,3,5,,,,,,,
9974,O7-16122,2,5,,,,,,,
10142,O7-35112,1,6,,,,,,,
10184,O7-36122,1,4,,,,,,,
10049,O7-24122,n/d 5,1,,,,,,,
10058,O7-26122,1,4,,,,,,,
10015,O7-19112,3,5,,,,,,,
9947,O7-12112,3,5,,,,,,,
10015,O7-19122,n/d 5,2,,,,,,,
10109,O7-31112,3,5,,,,,,,
9922,O7-09112,2,4,,,,,,,
9953,O7-13112,3,4,,,,,,,
10094,O7-29122,3,5,,,,,,,
10196,O7-38122,3,4,,,,,,,
9956,O7-14112,4,5,,,,,,,
Buffalo,O7-40112,4,5,,,,,,,
Tardis,O7-39112,3,5,,,,,,,
9908,O7-06112,4,5,,,,,,,
10073,O7-27112,3,4,,,,,,,
10115,O7-33112,3,5,,,,,,,
9967,O7-15122,4,5,,,,,,,
10073,O7-27122,4,4,,,,,,,
9914,O7-08112,1,6,,,,,,,
10190,O7-37112,1,6,,,,,,,
10055,O7-25122,n/d  4,2,,,,,,,
10142,O7-35122,n/d 4,2,,,,,,,
10022,O7-20122,5,3,,,,,,,
9887,O7-01112,3,5,,,,,,,
9922,O7-09122,2,3,,,,,,,
10001,O7-18122,3,4,,,,,,,
9911,O7-07112,2,6,,,,,,,
10115,O7-33122,3,6,,,,,,,
10076,O7-28112,3,5,,,,,,,
9899,O7-04112,3,5,,,,,,,
9889,O7-02112,4,4,,,,,,,
9989,O7-17122,2,6,,,,,,,
10103,O7-30112,3,4,,,,,,,
9956,O7-14122,4,4,,,,,,,
9932,O7-10122,2,6,,,,,,,
10049,O7-24112,2,7,,,,,,,
10103,O7-30122,n/d 4,2,,,,,,,
9941,O7-11112,4,4,,,,,,,
10055,O7-25112,2,7,,,,,,,
10139,O7-34122,n/d 4,3,,,,,,,
9889,O7-02122,3,4,,,,,,,
10058,O7-26112,2,7,,,,,,,
10190,O7-37122,1,5,,,,,,,
9893,O7-03112,2,5,,,,,,,
10196,O7-38112,3,6,,,,,,,
Buffalo,O7-40122,3,6,,,,,,,
10028,O7-21122,4,4,,,,,,,
9967,O7-15112,3,8,,,,,,,
9893,O7-03122,1,6,,,,,,,
10022,O7-20112,2,4,,,,,,,
10031,O7-22112,3,5,,,,,,,
9908,O7-06122,3,5,,,,,,,
10184,O7-36112,1,8,,,,,,,
9905,O7-05112,2,6,,,,,,,
9887,O7-01122,1,4,,,,,,,
10112,O7-32112,2,7,,,,,,,
10139,O7-34112,2,7,,,,,,,
10112,O7-32122,n/d,,,,,,,,
10076,O7-28122,n/d 4,3,,,,,,,
10046,O7-23112,2,5,,,,,,,
10109,O7-31122,4,5,,,,,,,
F2,O7-E122,,,,,,,,,
9989,O7-17113,3,6,,,,,,,
10031,O7-22123,4,4,,,,,,,
9899,O7-04123,4,5,,,,,,,
9905,O7-05123,3,6,,,,,,,
10001,O7-18113,3,5,,,,,,,
9953,O7-13123,4,4,,,,,,,
10094,O7-29113,5,5,,,,,,,
9932,O7-10113,3,5,,,,,,,
9974,O7-16113,3,5,,,,,,,
9911,O7-07123,2,4,,,,,,,
Tardis,O7-39123,3,3,,,,,,,
10028,O7-21113,3,5,,,,,,,
9941,O7-11123,4,4,,,,,,,
10046,O7-23123,2,4,,,,,,,
9914,O7-08123,1,3,,,,,,,
9947,O7-12123,3,4,,,,,,,
9974,O7-16123,3,4,,,,,,,
10142,O7-35113,3,4,,,,,,,
10184,O7-36123,1,4,,,,,,,
10049,O7-24123,2,5,,,,,,,
10058,O7-26123,3,4,,,,,,,
10015,O7-19113,4,4,,,,,,,
9947,O7-12113,4,4,,,,,,,
10015,O7-19123,n/d,,,,,,,,
10109,O7-31113,3,4,,,,,,,
9922,O7-09113,3,4,,,,,,,
9953,O7-13113,3,5,,,,,,,
10094,O7-29123,5,5,,,,,,,
10196,O7-38123,4,4,,,,,,,
9956,O7-14113,3,4,,,,,,,
Buffalo,O7-40113,4,6,,,,,,,
Tardis,O7-39113,4,5,,,,,,,
9908,O7-06113,2,5,,,,,,,
10073,O7-27113,3,4,,,,,,,
10115,O7-33113,n/d 4,1,,,,,,,
9967,O7-15123,2,6,,,,,,,
10073,O7-27123,n/d 4,2,,,,,,,
9914,O7-08113,1,6,,,,,,,
10190,O7-37113,2,7,,,,,,,
10055,O7-25123,4,4,,,,,,,
10142,O7-35123,n/d,,,,,,,,
10022,O7-20123,4,3,,,,,,,
9887,O7-01113,2,6,,,,,,,
9922,O7-09123,1,6,,,,,,,
10001,O7-18123,n/d 4,3,,,,,,,
9911,O7-07113,1,8,,,,,,,
10115,O7-33123,4,4,,,,,,,
10076,O7-28113,2,6,,,,,,,
9899,O7-04113,3,6,,,,,,,
9889,O7-02113,4,7,,,,,,,
9989,O7-17123,4,3,,,,,,,
10103,O7-30113,2,6,,,,,,,
9956,O7-14123,n/d,1,,,,,,,
9932,O7-10123,2,5,,,,,,,
10049,O7-24113,2,5,,,,,,,
10103,O7-30123,2,7,,,,,,,
9941,O7-11113,5,4,,,,,,,
10055,O7-25113,3,6,,,,,,,
10139,O7-34123,n/d 3,4,,,,,,,
9889,O7-02123,4,6,,,,,,,
10058,O7-26113,2,7,,,,,,,
10190,O7-37123,2,7,,,,,,,
9893,O7-03113,2,5,,,,,,,
10196,O7-38113,3,6,,,,,,,
Buffalo,O7-40123,4,4,,,,,,,
10028,O7-21123,3,5,,,,,,,
9967,O7-15113,5,4,,,,,,,
9893,O7-03123,1,6,,,,,,,
10022,O7-20113,2,5,,,,,,,
10031,O7-22113,3,5,,,,,,,
9908,O7-06123,3,5,,,,,,,
10184,O7-36113,1,6,,,,,,,
9905,O7-05113,4,5,,,,,,,
9887,O7-01123,2,6,,,,,,,
10112,O7-32113,5,3,,,,,,,
10139,O7-34113,3,7,,,,,,,
10112,O7-32123,5,2,,,,,,,
10076,O7-28123,n/n,,,,,,,,
10046,O7-23113,2,5,,,,,,,
10109,O7-31123,4,5,,,,,,,
F2,O7-E123,,,,,,,,,
